CRN,SUBJ,CRSE,TITLE,DAYS,START TIME,END TIME,BLDG,ROOM,INSTRUCTOR,START DATE,END DATE,WEEKS,SEATS LEFT,STATUS
96364,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"VIERSEN, A",01/29/2018,05/26/2018,16,3,PAST ADD DATE
95677,ACCT,116B,MANAGERIAL ACCOUNTING,MW,10:00 AM,11:50 AM,MIRA,M106,"VIERSEN, A",01/29/2018,05/26/2018,16,0,PAST ADD DATE
86579,ACCT,116B,MANAGERIAL ACCOUNTING,W,5:45 PM,9:30 PM,MIRA,M106,"SCHILDHOUSE, R",04/02/2018,05/26/2018,8,16,PAST ADD DATE
86579,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,,04/02/2018,05/26/2018,8,16,PAST ADD DATE
70050,ACCT,120,FEDERAL INCOME TAX,M,6:35 PM,8:05 PM,MIRA,M106,"NOBLE, S",01/29/2018,05/26/2018,16,16,PAST ADD DATE
70050,ACCT,120,FEDERAL INCOME TAX,TBA,0:00,0:00,MIRA,WEB,,01/29/2018,05/26/2018,16,16,PAST ADD DATE
30028,ACCT,121,CALIFORNIA INCOME TAX,TBA,0:00,0:00,MIRA,WEB,"MCCULLOUGH, P",01/29/2018,03/24/2018,8,17,PAST ADD DATE
57934,ACCT,121,CALIFORNIA INCOME TAX,TBA,0:00,0:00,MIRA,WEB,"MCCULLOUGH, P",04/02/2018,05/26/2018,8,11,PAST ADD DATE
86439,ACCT,150,COMPUTER ACCT. APPLICATIONS,TH,6:35 PM,9:00 PM,MIRA,M104,"NOBLE, S",01/29/2018,05/26/2018,16,11,PAST ADD DATE
86439,ACCT,150,COMPUTER ACCT. APPLICATIONS,TBA,0:00,0:00,MIRA,WEB,,01/29/2018,05/26/2018,16,11,PAST ADD DATE
10089,ACCT,201A,INTERMEDIATE ACCOUNTING I,TBA,0:00,0:00,MIRA,WEB,"VOYLES, A",01/29/2018,05/26/2018,16,29,PAST ADD DATE
40128,ACCT,201A,INTERMEDIATE ACCOUNTING I,TBA,0:00,0:00,MIRA,WEB,STAFF,04/02/2018,05/26/2018,8,45,CANCELLED
78887,ACCT,201A,INTERMEDIATE ACCOUNTING I,TBA,0:00,0:00,MIRA,WEB,"VOYLES, A",01/29/2018,05/26/2018,16,10,PAST ADD DATE
4109,ACCT,201B,INTERMEDIATE ACCOUNTING II,TBA,0:00,0:00,MIRA,WEB,"VOYLES, A",01/29/2018,05/26/2018,16,11,PAST ADD DATE
31203,ADJU,101,INTRO TO ADMIN OF JUSTICE,TBA,0:00,0:00,MIRA,WEB,"MEHLHOFF, D",04/02/2018,05/26/2018,8,4,PAST ADD DATE
33360,ADJU,101,INTRO TO ADMIN OF JUSTICE,TBA,0:00,0:00,MIRA,WEB,"MOLLER, S",01/29/2018,05/26/2018,16,0,PAST ADD DATE
95166,ADJU,101,INTRO TO ADMIN OF JUSTICE,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",01/29/2018,05/26/2018,16,3,PAST ADD DATE
30312,ADJU,101,INTRO TO ADMIN OF JUSTICE,S,9:00 AM,12:10 PM,MIRA,CLSRM,"OLSON, G",01/29/2018,05/26/2018,16,35,CANCELLED
93096,ADJU,101,INTRO TO ADMIN OF JUSTICE,T,9:35 AM,12:45 PM,MIRA,A223,"MOLLER, S",01/29/2018,05/26/2018,16,8,PAST ADD DATE
93102,ADJU,101,INTRO TO ADMIN OF JUSTICE,M,12:55 PM,4:05 PM,MIRA,A223,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
30303,ADJU,101,INTRO TO ADMIN OF JUSTICE,T,1:00 PM,4:10 PM,MIRA,A223,"MOLLER, S",01/29/2018,05/26/2018,16,7,PAST ADD DATE
7494,ADJU,101,INTRO TO ADMIN OF JUSTICE,TTH,5:00 PM,8:10 PM,MCASM,5305,"TURNER, H",01/29/2018,03/24/2018,8,30,CANCELLED
33378,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,"MOLLER, S",01/29/2018,05/26/2018,16,0,PAST ADD DATE
33390,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
92282,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,"SOETEN, J",01/29/2018,05/26/2018,16,0,PAST ADD DATE
95179,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
6328,ADJU,102,CRIMINAL LAW I,S,9:00 AM,12:10 PM,MIRA,CLSRM,"WORTHINGTON, M",01/29/2018,05/26/2018,16,35,CANCELLED
31204,ADJU,102,CRIMINAL LAW I,M,11:30 AM,2:40 PM,MIRA,A223,STAFF,04/02/2018,05/26/2018,8,35,CANCELLED
31204,ADJU,102,CRIMINAL LAW I,TBA,0:00,0:00,MIRA,WEB,,04/02/2018,05/26/2018,8,35,CANCELLED
7506,ADJU,102,CRIMINAL LAW I,MW,5:00 PM,8:10 PM,MCASM,5305,"NELSON, K",04/02/2018,05/26/2018,8,19,PAST ADD DATE
92298,ADJU,102,CRIMINAL LAW I,M,6:35 PM,9:45 PM,MIRA,A223,"BURTIS, T",01/29/2018,05/26/2018,16,3,PAST ADD DATE
95441,ADJU,106,DIVERSITY & COMMUNITY RELATS,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",01/29/2018,05/26/2018,16,11,PAST ADD DATE
70117,ADJU,106,DIVERSITY & COMMUNITY RELATS,T,6:35 PM,9:45 PM,MIRA,A223,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
70134,ADJU,128A,DEFENSIVE TACTICS I,W,5:50 PM,9:00 PM,MIRA,A202,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
30301,ADJU,160,CRIMINAL LAW II,TBA,0:00,0:00,MIRA,WEB,"MOLLER, S",01/29/2018,05/26/2018,16,17,PAST ADD DATE
58860,ADJU,160,CRIMINAL LAW II,TBA,0:00,0:00,MIRA,WEB,"SOETEN, J",01/29/2018,05/26/2018,16,8,PAST ADD DATE
70658,ADJU,160,CRIMINAL LAW II,TBA,0:00,0:00,MIRA,WEB,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
92136,ADJU,160,CRIMINAL LAW II,TH,5:50 PM,9:00 PM,MIRA,A226,"BURTIS, T",01/29/2018,05/26/2018,16,35,CANCELLED
95686,ADJU,161,JUVENILE PROCEDURES,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",01/29/2018,05/26/2018,16,0,PAST ADD DATE
70660,ADJU,161,JUVENILE PROCEDURES,T,5:50 PM,9:00 PM,MIRA,A220,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
60997,ADJU,161,JUVENILE PROCEDURES,W,6:35 PM,9:45 PM,MIRA,A226,"MORABE, M",01/29/2018,05/26/2018,16,13,PAST ADD DATE
31201,ADJU,162,CRIMINAL INVESTIGATION,TBA,0:00,0:00,MIRA,WEB,"MEHLHOFF, D",01/29/2018,05/26/2018,16,0,PAST ADD DATE
80013,ADJU,162,CRIMINAL INVESTIGATION,TBA,0:00,0:00,MIRA,WEB,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
31099,ADJU,162,CRIMINAL INVESTIGATION,TH,1:00 PM,4:10 PM,MIRA,A223,"WORTHINGTON, M",01/29/2018,05/26/2018,16,1,PAST ADD DATE
70671,ADJU,167,REPORT WRITING,TBA,0:00,0:00,MIRA,WEB,"MENSIOR, K",01/29/2018,05/26/2018,16,15,PAST ADD DATE
52972,ADJU,167,REPORT WRITING,W,6:35 PM,9:45 PM,MIRA,A223,"ELLIS, C",01/29/2018,05/26/2018,16,35,CANCELLED
58871,ADJU,180,DRUG ABUSE AND LAW ENFORCEMENT,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",01/29/2018,05/26/2018,16,7,PAST ADD DATE
70685,ADJU,180,DRUG ABUSE AND LAW ENFORCEMENT,M,6:35 PM,9:45 PM,MIRA,A220,"JARJURA, J",01/29/2018,05/26/2018,16,35,CANCELLED
6524,ADJU,182,STREET GANGS & LAW ENFORCEMENT,TBA,0:00,0:00,MIRA,WEB,"FERGUSON, R",01/29/2018,05/26/2018,16,1,PAST ADD DATE
77035,ADJU,201,CALIFORNIA CRIMINAL PROCEDURE,TBA,0:00,0:00,MIRA,WEB,"MEHLHOFF, D",01/29/2018,05/26/2018,16,11,PAST ADD DATE
61320,ADJU,201,CALIFORNIA CRIMINAL PROCEDURE,TH,12:55 PM,4:05 PM,MIRA,CLSRM,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
70701,ADJU,205,LEADERSHIP THEORY AND PRACTICE,M,5:50 PM,9:00 PM,MIRA,A228,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
31098,ADJU,210,RULES OF EVIDENCE,TBA,0:00,0:00,MIRA,WEB,"OMENS, J",01/29/2018,05/26/2018,16,0,PAST ADD DATE
95773,ADJU,210,RULES OF EVIDENCE,TBA,0:00,0:00,MIRA,WEB,STAFF,01/29/2018,05/26/2018,16,35,CANCELLED
77019,ADJU,220,LAW ENFORCEMENT FORENSICS,TH,6:35 PM,9:45 PM,MIRA,A223,"WORTHINGTON, M",01/29/2018,05/26/2018,16,5,PAST ADD DATE
61260,ADJU,230,CONSTITUTIONAL LAW I,TH,6:35 PM,9:45 PM,MIRA,A221,"PINCKARD, R",01/29/2018,05/26/2018,16,35,CANCELLED
7710,ADJU,300,FIRST AID,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/08/2018,01/08/2018,1,12,PAST ADD DATE
7732,ADJU,300,FIRST AID,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/05/2018,03/05/2018,1,7,PAST ADD DATE
7755,ADJU,300,FIRST AID,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/16/2018,04/16/2018,1,35,OPEN
7787,ADJU,300,FIRST AID,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/14/2018,05/14/2018,1,35,OPEN
7807,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/05/2018,04/05/2018,1,35,PAST ADD DATE
7815,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/19/2018,04/19/2018,1,35,OPEN
8107,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/11/2018,01/11/2018,1,0,PAST ADD DATE
8115,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",02/01/2018,02/01/2018,1,35,PAST ADD DATE
8121,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",02/15/2018,02/15/2018,1,0,PAST ADD DATE
8139,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/29/2018,03/29/2018,1,40,PAST ADD DATE
8142,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/03/2018,05/03/2018,1,35,OPEN
8150,ADJU,300,FIRST AID,TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/24/2018,05/24/2018,1,35,OPEN
7728,ADJU,300,FIRST AID,F,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/26/2018,01/26/2018,1,14,PAST ADD DATE
7749,ADJU,300,FIRST AID,F,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/06/2018,04/06/2018,1,35,PAST ADD DATE
7761,ADJU,300,FIRST AID,F,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/20/2018,04/20/2018,1,35,OPEN
7776,ADJU,300,FIRST AID,F,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/04/2018,05/04/2018,1,35,OPEN
7793,ADJU,300,FIRST AID,F,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/18/2018,05/18/2018,1,35,OPEN
8173,ADJU,304A,INT TRAFFIC ACCIDENT INVEST,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/08/2018,01/12/2018,1,5,PAST ADD DATE
8184,ADJU,307A,TRAFFIC ENFOR RADAR CERT,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/16/2018,04/18/2018,1,30,OPEN
8196,ADJU,312A,BASIC SUPERVISORY COURSE,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/14/2018,05/25/2018,2,30,OPEN
7821,ADJU,322A,BASIC TRAFFIC ACCIDENT INVEST,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/19/2018,03/23/2018,1,7,PAST ADD DATE
40502,ADJU,322A,BASIC TRAFFIC ACCIDENT INVEST,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/30/2018,05/04/2018,1,30,OPEN
40452,ADJU,323A,48TH DTNS & COURT SVCS ACADEMY,MTWTHF,7:00 AM,4:00 PM,MIRA,A225,STAFF,03/02/2018,06/21/2018,17,19,PAST ADD DATE
8201,ADJU,330A,POST CERT FIELD TRAIN OFFICER,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/12/2018,03/16/2018,1,0,PAST ADD DATE
8216,ADJU,330A,POST CERT FIELD TRAIN OFFICER,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/14/2018,05/18/2018,1,30,OPEN
8227,ADJU,332A,POST CERTIFIED DUI COURSE,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/22/2018,01/24/2018,1,5,PAST ADD DATE
8238,ADJU,332A,POST CERTIFIED DUI COURSE,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/07/2018,05/09/2018,1,30,OPEN
72262,ADJU,357A,832 PC LAWS OF ARREST,MTWTHF,8:00 AM,5:00 PM,MIRA,CLSRM,"MEHLHOFF, D",02/05/2018,02/09/2018,1,5,PAST ADD DATE
72277,ADJU,357A,832 PC LAWS OF ARREST,MTWTHF,8:00 AM,5:00 PM,MIRA,R2101,"MEHLHOFF, D",03/19/2018,03/23/2018,1,1,PAST ADD DATE
72286,ADJU,357A,832 PC LAWS OF ARREST,MTWTHF,8:00 AM,5:00 PM,MIRA,CLSRM,"MEHLHOFF, D",05/07/2018,05/11/2018,1,0,CLOSED MAY WAITLIST
72290,ADJU,357A,832 PC LAWS OF ARREST,MTWTHF,8:00 AM,5:00 PM,MIRA,CLSRM,STAFF,01/29/2018,05/26/2018,16,40,CANCELLED
8240,ADJU,359,FIELD TRAINING OFFICER UPDATE,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/05/2018,03/07/2018,1,0,PAST ADD DATE
8592,ADJU,361D,BUILDING SEARCHES,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/12/2018,03/12/2018,1,9,PAST ADD DATE
8606,ADJU,361D,BUILDING SEARCHES,M,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/07/2018,05/07/2018,1,25,OPEN
8817,ADJU,361M,LESS-LETHAL/TASER TRAINING,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/14/2018,05/17/2018,1,25,OPEN
8802,ADJU,361M,LESS-LETHAL/TASER TRAINING,TWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",02/20/2018,02/23/2018,1,5,PAST ADD DATE
7839,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",04/23/2018,04/26/2018,1,40,OPEN
8252,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",01/08/2018,01/11/2018,1,10,PAST ADD DATE
8269,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",01/22/2018,01/25/2018,1,10,PAST ADD DATE
8274,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",01/29/2018,02/01/2018,1,9,PAST ADD DATE
8283,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",02/05/2018,02/08/2018,1,13,PAST ADD DATE
8295,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",02/12/2018,02/15/2018,1,13,PAST ADD DATE
8303,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",02/26/2018,03/01/2018,1,7,PAST ADD DATE
8312,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",03/05/2018,03/08/2018,1,15,PAST ADD DATE
8329,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",03/12/2018,03/15/2018,1,16,PAST ADD DATE
8330,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",03/19/2018,03/22/2018,1,11,PAST ADD DATE
8348,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",03/26/2018,03/29/2018,1,7,PAST ADD DATE
8356,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",04/02/2018,04/05/2018,1,9,PAST ADD DATE
8367,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",04/09/2018,04/12/2018,1,40,PAST ADD DATE
8375,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",04/16/2018,04/19/2018,1,40,OPEN
8381,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",04/30/2018,05/03/2018,1,40,OPEN
8394,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",05/07/2018,05/10/2018,1,40,OPEN
8413,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",05/14/2018,05/17/2018,1,40,OPEN
8424,ADJU,361R,REGIONAL OFFICER TRAINING,MTWTH,7:00 AM,5:00 PM,MIRA,CLSRM,"RYAN, M",05/21/2018,05/24/2018,1,40,OPEN
8490,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/08/2018,01/10/2018,1,0,PAST ADD DATE
8509,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/29/2018,01/31/2018,1,0,PAST ADD DATE
8514,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",02/12/2018,02/14/2018,1,35,PAST ADD DATE
8537,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",03/26/2018,03/28/2018,1,2,PAST ADD DATE
8546,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/02/2018,04/04/2018,1,35,PAST ADD DATE
8558,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/16/2018,04/18/2018,1,35,OPEN
8560,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/30/2018,05/02/2018,1,35,OPEN
8571,ADJU,361S,CPT FOR SHERIFF DEPUTIES,MTW,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/21/2018,05/23/2018,1,35,OPEN
8585,ADJU,366,RADAR-LASER OPERATOR (LIDAR),TH,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/19/2018,04/19/2018,1,30,OPEN
7850,ADJU,369,DRUG INFLUENCE: 11550,T,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",05/15/2018,05/15/2018,1,25,OPEN
40517,ADJU,369,DRUG INFLUENCE: 11550,T,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",04/10/2018,04/10/2018,1,28,PAST ADD DATE
7842,ADJU,369,DRUG INFLUENCE: 11550,W,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",02/28/2018,02/28/2018,1,0,PAST ADD DATE
7868,ADJU,378,DEFENSIVE TACTICS INSTRUCTOR,MTWTHF,7:00 AM,4:00 PM,MIRA,CLSRM,"RYAN, M",01/22/2018,02/02/2018,2,9,PAST ADD DATE
40401,ADJU,381,115TH REGIONAL ACADEMY MOD I,MTWTHF,7:00 AM,3:30 PM,MIRA,CLSRM,"RYAN, M",03/05/2018,06/19/2018,15,3,PAST ADD DATE
31158,ADJU,382,114TH REGIONAL ACADEMY MOD II,MTWTHF,7:00 AM,3:30 PM,MIRA,A229,"RYAN, M",03/20/2018,04/13/2018,3,21,PAST ADD DATE
31159,ADJU,383,114TH REGIONAL ACADEMY MOD III,MTWTHF,7:00 AM,3:30 PM,MIRA,A229,"RYAN, M",04/16/2018,04/26/2018,2,21,OPEN
31160,ADJU,384,114TH REGIONAL ACADEMY MOD IV,MTWTHF,7:00 AM,3:30 PM,MIRA,A229,"RYAN, M",04/27/2018,05/16/2018,4,110,OPEN
36000,ANTH,102,HONORS: INTRO TO PHYS ANTHRO,MW,11:10 AM,12:35 PM,MIRA,H206,"GONZALEZ, L",01/29/2018,05/26/2018,16,0,PAST ADD DATE
50987,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",01/29/2018,05/26/2018,16,4,PAST ADD DATE
50993,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",01/29/2018,05/26/2018,16,6,PAST ADD DATE
51008,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"ANDRES, T",01/29/2018,05/26/2018,16,5,PAST ADD DATE
81094,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"KOBARI, S",01/29/2018,03/24/2018,8,0,PAST ADD DATE
5476,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TTH,9:35 AM,11:00 AM,MIRA,H205,"MCKENDRICKS, B",01/29/2018,05/26/2018,16,8,PAST ADD DATE
92154,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TTH,9:35 AM,11:00 AM,MIRA,H206,"KOBARI, S",01/29/2018,05/26/2018,16,11,PAST ADD DATE
3210,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,F,9:35 AM,12:45 PM,MIRA,H204,"FONTANA, E",01/29/2018,05/26/2018,16,40,CANCELLED
49339,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,MW,11:10 AM,12:35 PM,MIRA,H206,"GONZALEZ, L",01/29/2018,05/26/2018,16,0,PAST ADD DATE
67192,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TTH,2:30 PM,3:45 PM,MIRA,H206,"PAIN, E",01/29/2018,05/26/2018,16,7,PAST ADD DATE
67203,ANTH,102,INTRO TO PHYSICAL ANTHROPOLOGY,TH,6:35 PM,9:45 PM,MIRA,H206,"MC KOWN, L",01/29/2018,05/26/2018,16,14,PAST ADD DATE
36002,ANTH,103,HONORS: INTRO TO CULTURAL ANTH,TTH,11:10 AM,12:35 PM,MIRA,H208,"GONZALEZ, L",01/29/2018,05/26/2018,16,0,PAST ADD DATE
36001,ANTH,103,HONORS: INTRO TO CULTURAL ANTH,MW,2:20 PM,3:45 PM,MIRA,H206,"FONTANA, E",01/29/2018,05/26/2018,16,0,PAST ADD DATE
3204,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"SMITH, E",04/02/2018,05/26/2018,8,0,PAST ADD DATE
7601,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"SMITH, E",01/29/2018,03/24/2018,8,8,PAST ADD DATE
84184,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",01/29/2018,05/26/2018,16,6,PAST ADD DATE
96526,ANTH,103,INTRO TO CULTURAL ANTHROPOLOGY,TBA,0:00,0:00,MIRA,WEB,"GONZALEZ, L",01/29/2018,05/26/2018,16,35,CANCELLED
